Team Name,Image Link
Gonzaga,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2250.png
Georgia State,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2247.png
Boise State,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/68.png
Memphis,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/235.png
UConn,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/41.png
New Mexico St,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/166.png
Arkansas,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/8.png
Vermont,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/261.png
Alabama,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/333.png
Notre Dame,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png
Texas Tech,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2641.png
Montana State,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/147.png
Michigan State,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/127.png
Davidson,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2166.png
Duke,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png
CSU Fullerton,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2239.png
Baylor,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/239.png
Norfolk State,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2450.png
North Carolina,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png
Marquette,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/269.png
Saint Mary's,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2608.png
Indiana,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/84.png
UCLA,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/26.png
Akron,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2006.png
Texas,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png
Virginia Tech,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png
Purdue,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2509.png
Yale,https://secure.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/43.png
